azimuth, elevation, dBi
14.999999999999998, 20, -1.4339418368828991
20, 20, -1.8632581816362845
25, 20, -2.445757575966246
29.999999999999996, 20, -3.21335501246795
35, 20, -4.221164594415237
40, 20, -5.573893192340601
45, 20, -7.508098455267226
50, 20, -10.785182706189953
55, 20, -28.06430449079089
59.99999999999999, 20, -11.267613173882317
65, 20, -8.73761570179203
70, 20, -7.512605842331745
75.00000000000001, 20, -6.885379323493516
80, 20, -6.642614889861767
85, 20, -6.702563160202905
90, 20, -7.041012590548732
95, 20, -7.674451366889064
100, 20, -8.669947195384973
105, 20, -10.198576859145723
110, 20, -12.771425797840132
114.99999999999999, 20, -19.78424863705313
119.99999999999999, 20, -15.388952305774552
125.00000000000001, 20, -11.983019849954053
130, 20, -10.4004277145776
135, 20, -9.528880613986049
140, 20, -9.074371825617959
145.00000000000003, 20, -8.917264747437327
150.00000000000003, 20, -8.997880166668624
155, 20, -9.280022643834027
160, 20, -9.731682042367208
164.99999999999997, 20, -10.30590104634996
170, 20, -10.914942878009558
175.00000000000003, 20, -11.407960889223961
180, 20, -11.602337837682084
185, 20, -11.407960889223961
190, 20, -10.914942878009558
195.00000000000003, 20, -10.305901046349966
200, 20, -9.73168204236721
205, 20, -9.280022643834027
210, 20, -8.997880166668624
215, 20, -8.917264747437327
220, 20, -9.074371825617959
225, 20, -9.528880613986049
229.99999999999997, 20, -10.400427714577596
235, 20, -11.983019849954053
239.99999999999997, 20, -15.388952305774495
245.00000000000003, 20, -19.78424863705307
250.00000000000003, 20, -12.77142579784011
255, 20, -10.198576859145716
260, 20, -8.669947195384973
265, 20, -7.674451366889064
270, 20, -7.041012590548733
275, 20, -6.702563160202905
280, 20, -6.6426148898617665
285, 20, -6.885379323493512
290.00000000000006, 20, -7.512605842331746
295, 20, -8.73761570179203
300.00000000000006, 20, -11.267613173882305
305, 20, -28.064304490790498
310, 20, -10.785182706189953
315, 20, -7.5080984552672305
320, 20, -5.5738931923406065
325, 20, -4.221164594415242
329.99999999999994, 20, -3.2133550124679577
335.00000000000006, 20, -2.445757575966246
340, 20, -1.8632581816362845
345, 20, -1.4339418368828991
350.00000000000006, 20, -1.1384949867971432
355, 20, -0.9653445699316072
360, 20, -0.9082811626241205
0, 25, -1.4571324902625582
5, 25, -1.5159988979712267
10, 25, -1.6947724545289633
14.999999999999998, 25, -2.000365463851458
20, 25, -2.445757575966246
25, 25, -3.0528756407606044
29.999999999999996, 25, -3.8586310288098034
35, 25, -4.9285782943133984
40, 25, -6.392916911986353
45, 25, -8.570123830168972
50, 25, -12.708204604542345
55, 25, -16.281008741091664
59.99999999999999, 25, -10.466781524709457
65, 25, -8.44089307055345
70, 25, -7.3898033265824825
75.00000000000001, 25, -6.842418340785529
80, 25, -6.637377856788137
85, 25, -6.709851622425001
90, 25, -7.041012590548732
95, 25, -7.646270723591247
100, 25, -8.583773828622526
105, 25, -9.996104566560666
110, 25, -12.278200064905223
114.99999999999999, 25, -17.360819058036782
119.99999999999999, 25, -16.97265872616811
125.00000000000001, 25, -12.658392014443605
130, 25, -10.830005695330055
135, 25, -9.817308270162362
140, 25, -9.247321395359844
145.00000000000003, 25, -8.97329521011985
150.00000000000003, 25, -8.919567729596316
155, 25, -9.036450610341973
160, 25, -9.280022643834023
164.99999999999997, 25, -9.598812521851976
170, 25, -9.924548962653093
175.00000000000003, 25, -10.17321277626431
180, 25, -10.267070949125783
185, 25, -10.173212776264313
190, 25, -9.924548962653093
195.00000000000003, 25, -9.598812521851976
200, 25, -9.280022643834027
205, 25, -9.036450610341973
210, 25, -8.919567729596316
215, 25, -8.97329521011985
220, 25, -9.247321395359844
225, 25, -9.817308270162359
229.99999999999997, 25, -10.830005695330055
235, 25, -12.658392014443596
239.99999999999997, 25, -16.972658726168053
245.00000000000003, 25, -17.360819058036746
250.00000000000003, 25, -12.278200064905212
255, 25, -9.996104566560657
260, 25, -8.583773828622526
265, 25, -7.646270723591247
270, 25, -7.041012590548733
275, 25, -6.709851622425001
280, 25, -6.637377856788137
285, 25, -6.8424183407855255
290.00000000000006, 25, -7.389803326582486
295, 25, -8.440893070553452
300.00000000000006, 25, -10.46678152470945
305, 25, -16.281008741091615
310, 25, -12.70820460454236
315, 25, -8.57012383016898
320, 25, -6.392916911986361
325, 25, -4.928578294313407
329.99999999999994, 25, -3.8586310288098113
335.00000000000006, 25, -3.0528756407606017
340, 25, -2.445757575966246
345, 25, -2.000365463851458
350.00000000000006, 25, -1.6947724545289633
355, 25, -1.5159988979712267
360, 25, -1.4571324902625582
0, 29.999999999999996, -2.173431190353087
5, 29.999999999999996, -2.235022044732174
10, 29.999999999999996, -2.422309978587378
14.999999999999998, 29.999999999999996, -2.7433335332371196
20, 29.999999999999996, -3.21335501246795
25, 29.999999999999996, -3.8586310288098034
29.999999999999996, 29.999999999999996, -4.7246169068218595
35, 29.999999999999996, -5.89560949859814
40, 29.999999999999996, -7.551386372742885
45, 29.999999999999996, -10.196773523837892
50, 29.999999999999996, -16.99962870072476
55, 29.999999999999996, -13.161549753881914
59.99999999999999, 29.999999999999996, -9.714439223147302
65, 29.999999999999996, -8.131317233930675
70, 29.999999999999996, -7.257534684887541
75.00000000000001, 29.999999999999996, -6.796423597715721
80, 29.999999999999996, -6.6330847734026435
85, 29.999999999999996, -6.719107945728757
90, 29.999999999999996, -7.041012590548732
95, 29.999999999999996, -7.612869921335207
100, 29.999999999999996, -8.483300012428971
105, 29.999999999999996, -9.766110714453898
110, 29.999999999999996, -11.75168214904591
114.99999999999999, 29.999999999999996, -15.547706779297128
119.99999999999999, 29.999999999999996, -20.35121287941985
125.00000000000001, 29.999999999999996, -13.68909610254894
130, 29.999999999999996, -11.461256076050086
135, 29.999999999999996, -10.252455465236707
140, 29.999999999999996, -9.540424380704886
145.00000000000003, 29.999999999999996, -9.137480290229139
150.00000000000003, 29.999999999999996, -8.950262982023089
155, 29.999999999999996, -8.919567729596316
160, 29.999999999999996, -8.997880166668624
164.99999999999997, 29.999999999999996, -9.13884387690883
170, 29.999999999999996, -9.293270056863031
175.00000000000003, 29.999999999999996, -9.412077296367025
180, 29.999999999999996, -9.456662047559652
185, 29.999999999999996, -9.412077296367025
190, 29.999999999999996, -9.293270056863031
195.00000000000003, 29.999999999999996, -9.13884387690883
200, 29.999999999999996, -8.997880166668624
205, 29.999999999999996, -8.919567729596316
210, 29.999999999999996, -8.950262982023089
215, 29.999999999999996, -9.137480290229139
220, 29.999999999999996, -9.540424380704886
225, 29.999999999999996, -10.252455465236704
229.99999999999997, 29.999999999999996, -11.46125607605008
235, 29.999999999999996, -13.68909610254894
239.99999999999997, 29.999999999999996, -20.351212879419723
245.00000000000003, 29.999999999999996, -15.547706779297105
250.00000000000003, 29.999999999999996, -11.75168214904591
255, 29.999999999999996, -9.766110714453891
260, 29.999999999999996, -8.483300012428977
265, 29.999999999999996, -7.612869921335208
270, 29.999999999999996, -7.041012590548733
275, 29.999999999999996, -6.719107945728757
280, 29.999999999999996, -6.6330847734026435
285, 29.999999999999996, -6.7964235977157195
290.00000000000006, 29.999999999999996, -7.257534684887545
295, 29.999999999999996, -8.13131723393068
300.00000000000006, 29.999999999999996, -9.714439223147302
305, 29.999999999999996, -13.161549753881914
310, 29.999999999999996, -16.99962870072476
315, 29.999999999999996, -10.196773523837901
320, 29.999999999999996, -7.55138637274289
325, 29.999999999999996, -5.895609498598146
329.99999999999994, 29.999999999999996, -4.72461690682187
335.00000000000006, 29.999999999999996, -3.8586310288098007
340, 29.999999999999996, -3.21335501246795
345, 29.999999999999996, -2.7433335332371196
350.00000000000006, 29.999999999999996, -2.422309978587378
355, 29.999999999999996, -2.235022044732174
360, 29.999999999999996, -2.173431190353087
0, 35, -3.0998751627434302
5, 35, -3.1657268123714366
10, 35, -3.3663734898804853
14.999999999999998, 35, -3.711774958158088
20, 35, -4.221164594415237
25, 35, -4.9285782943133984
29.999999999999996, 35, -5.89560949859814
35, 35, -7.244877257400228
40, 35, -9.272653250926789
45, 35, -13.087191518059004
50, 35, -17.95814333427466
55, 35, -11.267613173882317
59.99999999999999, 35, -9.035594558140179
65, 35, -7.826228246415571
70, 35, -7.123492035851054
75.00000000000001, 35, -6.750589094664519
80, 35, -6.63083600539513
85, 35, -6.730514306165515
90, 35, -7.041012590548732
95, 35, -7.574822544847706
100, 35, -8.371010759434728
105, 35, -9.516314280932463
110, 35, -11.213888772650265
114.99999999999999, 35, -14.092887976059647
119.99999999999999, 35, -24.412971249391685
125.00000000000001, 35, -15.388952305774515
130, 35, -12.406733879005207
135, 35, -10.903804856767131
140, 35, -10.00853927187373
145.00000000000003, 35, -9.459409849780444
150.00000000000003, 35, -9.137480290229139
155, 35, -8.97329521011985
160, 35, -8.917264747437327
164.99999999999997, 35, -8.928114069903017
170, 35, -8.96899601783447
175.00000000000003, 35, -9.008399802421119
180, 35, -9.024219066622031
185, 35, -9.008399802421119
190, 35, -8.96899601783447
195.00000000000003, 35, -8.928114069903017
200, 35, -8.917264747437327
205, 35, -8.97329521011985
210, 35, -9.137480290229139
215, 35, -9.459409849780444
220, 35, -10.008539271873724
